id_case,membership,lineage,lineage_chain
1,4,0,2
2,2,0,3
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,0,1
9,1,1,1
10,2,3,3
13,1,0,1
14,3,5,5
15,1,1,1
16,2,0,3
17,1,1,1
18,2,3,3
20,1,1,1
21,3,5,5
22,2,3,3
23,1,1,1
28,1,1,1
29,5,4,4
30,1,1,1
31,1,1,1
33,1,1,1
34,3,5,5
35,3,5,5
37,3,5,5
38,3,0,5
39,3,0,5
40,3,0,5
41,3,0,5
42,3,0,5
43,3,0,5
44,3,0,5
45,4,2,2
46,3,0,5
48,3,0,5
53,3,0,5
56,3,0,5
58,3,0,5
59,3,0,5
61,3,0,5
62,3,0,5
63,1,0,1
65,1,0,1
75,1,1,1
